pecha_id,split,source_batch,chars,n_gold
I5AEEE5CA,train,new,499234,1
I5BFCBB3F,train,new,17335,1
I5F5D9F5A,test,new,156989,8
I60D0ED54,train,new,21161,1
I617FDD1E,train,new,3076,1
I6193773E,train,new,38378,1
I62D7430C,test,new,28689,1
I6380CEC4,train,new,413240,5
I64B5DDDD,train,new,166926,1
I6A834445,train,new,58032,1
I6D11E414,train,new,273482,15
I6D4C317A,train,new,101431,10
I6EFF9668,train,new,60112,65
I6F70ED49,train,new,711926,1
I74772DFF,train,new,189248,6
I750EAEE8,train,new,29488,1
I786395B4,train,new,64332,1
I78C84F85,train,new,85602,23
I7989272E,test,new,101174,4
I79F57A79,train,new,160644,1
I7A79CC95,train,new,739853,24
I7C0B99BB,train,new,119011,1
I7D476A8B,train,new,256893,4
I8006C360,train,new,66302,1
I8222749E,train,new,15892,1
I82AB29CD,train,new,19991,1
I849C345E,train,new,234862,15
I85485484,train,new,5985,1
I85C28EDA,train,new,167221,21
I8698A1DF,val,new,96422,6
I86E4558F,train,new,100958,1
I881A57E8,train,new,123453,11
I88977D82,train,new,244713,3
I88CF073C,train,new,199779,22
I88DA3111,train,new,10195,1
I895C519A,val,new,19661,1
I8961718B,train,new,287997,14
I8994AAB2,train,new,321927,3
I8995895C,train,new,8212,2
I8A57AE06,train,new,9702,1
I8B49E87B,val,new,315392,15
I8CEEFEFC,train,new,97625,1
I8D5C7CB4,train,new,13210,1
I8D6D2565,train,new,52135,1
I8E747E8E,train,new,79652,1
I8EC6D8E9,train,new,37575,1
I91949F99,train,new,256137,3
I920AA7AC,train,new,336116,4
I9434034F,train,new,42966,2
I9658BC87,train,new,559981,19
I968B73EB,train,new,116379,1
I9779A606,train,new,320369,3
I97B90DC0,train,new,301570,13
I9811592F,val,new,116840,1
I98D03292,train,new,412649,5
I99DF06AA,test,new,475299,1
I9AEEF96A,test,new,11369,1
I9B6A4525,test,new,246392,10
I9CB71958,train,new,31805,8
I9D9C7AC9,test,new,14402,1
I9DF09DD3,train,new,70209,1
I9EE3E92B,train,new,26499,1
IA3DD1ADA,train,new,13071,1
IA473D353,val,new,108809,9
IA5AA757B,train,new,26247,5
IA736981A,train,new,58044,3
IA83BAC6F,val,new,120316,1
IAA85B9B5,train,new,10832,1
IAAADCAA0,test,new,88023,9
IAB948889,train,new,86696,1
IABE7480B,train,new,58750,2
IACD4469E,train,new,524931,1
IAE1E11E5,train,new,150336,5
IAFA8F999,train,new,5599,1
IB047F8C7,train,new,272888,7
IB2BA1922,train,new,790885,2
IB4534838,train,new,102800,1
IB45DE768,train,new,7695,1
IB47565DE,val,new,275566,41
IB4B89F9C,train,new,425538,3
IB503BC08,train,new,54995,1
IB522F095,train,new,281185,23
IB5F523B2,train,new,4544,1
IB8D599AA,train,new,388143,39
IB8EEB9FB,train,new,328903,17
IB8F4E5BE,train,new,916694,14
IB9CA8898,train,new,32658,3
IBB199AAB,train,new,74644,1
IBB812389,train,new,54112,1
IBBB26EA1,train,new,18588,1
IBBFC3AAB,train,new,68534,1
IBC775AF6,train,new,284388,4
IBCF6B0BA,train,new,149555,1
IBD1386A4,train,new,189841,2
IBF8C5BB6,train,new,256079,7
IBFACCCDF,train,new,141184,1
IC05A6BE0,test,new,126988,7
IC3A7006F,train,new,81153,10
IC421942A,train,new,63180,1
IC555D0EB,train,new,300840,4
IC5CE7FE9,train,new,339122,7
IC6F06BCD,test,new,272537,10
IC7A5FC73,train,new,357663,1
IC87920B7,train,new,200891,11
IC8A4519C,train,new,146968,1
IC99C24DC,train,new,3111,1
IC9EE0A24,train,new,57439,1
ICC9840B6,train,new,600774,32
ICDC84458,test,new,674665,9
ID13E3867,train,new,483768,1
ID4AD2D0E,train,new,8919,1
ID5714205,train,new,465233,2
ID6DDE9E3,train,new,46616,1
ID8FE83E3,train,new,729586,1
IDA8C4CE5,train,new,58743,1
IDAB254F1,train,new,189814,1
IDACD7FC0,train,new,12267,1
IDAE0EA08,train,new,279689,2
IDB6093E9,train,new,389471,16
IDBFF9DE3,train,new,398204,3
IDDA7F69E,train,new,533162,25
IDDB46142,train,new,4214,1
IDF77FDDD,train,new,52696,1
IE0AB7438,train,new,295963,2
IE166DA22,train,new,21584,1
IE1B4BBB9,train,new,92715,2
IE1ECB287,train,new,43763,1
IE2421BEA,train,new,581305,2
IE3ACE254,val,new,751000,2
IE5895799,test,new,247282,25
IE79CC998,train,new,18157,2
IE8EB4CB4,train,new,50913,1
IE9C4806D,test,new,16372,2
IEA9B747E,train,new,508071,8
IEDFED305,train,new,3418,1
IEE67309C,train,new,222314,8
IEEB908B0,train,new,59149,1
IEEBAD11E,train,new,3592,1
IEEC9CCA9,train,new,8487,1
IEF3A4022,train,new,402148,1
IF30A1358,train,new,61357,1
IF428CDDB,train,new,414209,13
IF4C4BF01,train,new,385966,9
IF4F5D041,train,new,48607,2
IF5AAE849,train,new,8981,1
IF69FF8A7,train,new,70655,1
IF6B54962,train,new,10526,1
IF7A04537,train,new,234686,1
IF84B2E71,train,new,130583,20
IF85C9484,train,new,420489,11
IFA88A536,train,new,173506,8
IFAAADEA1,train,new,94614,1
IFC5AD8FD,val,new,157990,1
IFF05DE5E,train,new,25167,1
IFF541F44,train,new,208766,7
IFFA911F5,train,new,156768,1
P000010,train,old,657140,97
P000011,train,old,652943,81
P000013,test,old,146342,2
P000015,train,old,111298,23
P000016,train,old,254227,65
P000018,train,old,190602,1
P000020,train,old,289013,1
P000021,train,old,268019,5
P000022,train,old,380072,12
P000023,test,old,140816,1
P000027,test,old,74767,2
P000028,val,old,546785,2
P000029,train,old,282867,2
P000030,train,old,761197,19
P000032,train,old,30508,1
P000033,train,old,32440,1
P000034,train,old,819268,8
P000036,train,old,526759,28
P000037,train,old,931698,14
P000040,train,old,13292,1
P000044,train,old,221545,13
P000045,train,old,16416,1
P000046,train,old,250389,15
P000047,train,old,109971,11
P000048,train,old,569375,2
P000051,train,old,558680,5
P000052,train,old,119,1
P000053,train,old,14079,2
P000054,train,old,689458,4
P000055,train,old,303755,4
P000056,test,old,73194,2
P000061,val,old,33581,1
P000062,train,old,8361,2
P000067,test,old,501704,7
P000068,train,old,560179,1
P000070,train,old,368106,8
P000071,val,old,237897,10
P000072,train,old,124808,1
P000074,train,old,663463,2
P000076,val,old,97793,1
P000078,train,old,842034,2
P000079,test,old,318024,13
P000080,train,old,372493,31
P000084,val,old,152131,4
P000085,train,old,752850,1
P000089,train,old,620370,6
P000091,train,old,297143,5
P000094,train,old,197515,4
P000095,train,old,6756,2
P000097,train,old,59562,1
P000098,train,old,629352,1
P000099,train,old,238013,3
P000100,train,old,111176,1
P000106,train,old,235634,47
P000107,train,old,63762,1
P000108,train,old,196746,54
P000109,test,old,204435,1
P000110,test,old,117036,8
P000111,train,old,411816,2
P000112,train,old,385956,2
P000114,train,old,207201,1
P000115,test,old,717305,3
P000116,train,old,86729,2
P000118,test,old,80775,4
P000119,train,old,596151,8
P000123,train,old,403680,1
P000124,train,old,6318,1
P000125,train,old,182616,1
P000126,train,old,130481,3
P000127,train,old,213073,15
P000128,train,old,118004,1
P000130,train,old,601371,111
P000132,train,old,157152,4
P000134,test,old,26537,1
P000137,val,old,69577,1
P000138,test,old,36617,2
P000140,train,old,654338,2
P000141,train,old,87122,4
P000142,train,old,14160,1
P000143,train,old,58655,1
P000145,train,old,248948,1
P000148,train,old,21784,11
P000149,train,old,150357,27
P000150,train,old,49641,2
P000152,val,old,994635,3
P000158,val,old,251570,1
P000159,train,old,623271,3
P000160,train,old,874282,30
P000162,train,old,194650,1
P000163,train,old,105093,1
P000169,train,old,692709,2
P000171,train,old,931701,127
P000172,test,old,72237,1
P000173,train,old,115994,1
P000177,train,old,288680,1
P000178,train,old,47274,1
P000182,train,old,57810,1
P000183,val,old,597116,2
P000188,train,old,216193,16
P000192,train,old,162559,1
P000194,train,old,19446,1
P000195,train,old,299336,3
P000198,train,old,647176,21
P000200,train,old,124473,5
P000201,train,old,17663,2
P000202,train,old,12714,1
P000203,train,old,178374,4
P000204,train,old,314590,83
P000205,train,old,585122,14
P000206,train,old,134345,1
P000207,train,old,278772,4
P000211,train,old,200688,20
P000213,train,old,153585,2
P000215,val,old,164993,7
P000216,train,old,200124,1
P000217,train,old,54308,5
P000218,train,old,847725,15
P000220,train,old,393760,12
P000223,test,old,77063,1
P000224,train,old,788838,4
P000227,train,old,452155,8
P000230,train,old,361653,1
P000232,train,old,8442,1
P000235,train,old,499135,1
P000236,train,old,524770,22
P000237,val,old,148092,1
P000238,val,old,384560,5
P000240,train,old,792151,17
P000245,test,old,442414,24
P000246,train,old,733082,2
P000248,train,old,18132,1
P000252,train,old,32389,1
P000253,train,old,74090,9
P000254,train,old,223408,1
P000255,train,old,32564,1
P000259,train,old,137046,1
P000260,val,old,29006,1
P000261,train,old,6786,1
P000263,train,old,762363,4
P000265,train,old,233940,14
P000266,train,old,92447,1
P000270,train,old,34843,2
P000275,test,old,580644,54
